skillid,skillname,category,reviewer,star,title,date,content
B074PZQTXG,Trumpcaster,Local,M Murphy,5.0 out of 5 stars,Alexa is Great Again,"Reviewed in the United States on March 30, 2018",Big League
B074PZQTXG,Trumpcaster,Local,cpakk,5.0 out of 5 stars,My President,"Reviewed in the United States on January 13, 2018",Very nice app. Very nice.
B074PZQTXG,Trumpcaster,Local,Delilah Mansour,5.0 out of 5 stars,My President is Awesome,"Reviewed in the United States on September 26, 2017","So fun! And the president is his funny, unique, tough NYer self!"
B074PZQTXG,Trumpcaster,Local,Emily Robisch,1.0 out of 5 stars,Bad voice acting,"Reviewed in the United States on July 7, 2018",Doesnt sound like trump at all
B074PZQTXG,Trumpcaster,Local,RICHARD R. GREENE,2.0 out of 5 stars,It would be easier just letting people what hand full of Cities are supported by this Skill,"Reviewed in the United States on August 20, 2017",Not Many cities are Supported by this Skill not even Washington DC (LOL) come on Really
B074PZQTXG,Trumpcaster,Local,C,1.0 out of 5 stars,Fake forecasts,"Reviewed in the United States on February 15, 2018",Forecasts are made up and not accurate. Waste of good bandwidth.
B074PZQTXG,Trumpcaster,Local,looney2ns22,1.0 out of 5 stars,Pitiful skill,"Reviewed in the United States on August 23, 2017",Doesn't recognize Any citys
B074PZQTXG,Trumpcaster,Local,bamit,5.0 out of 5 stars,Classic MAGA,"Reviewed in the United States on May 28, 2018",Fun skill. Not for liberals.
B074PZQTXG,Trumpcaster,Local,Robert J. Phillips,4.0 out of 5 stars,Make America Great Again.,"Reviewed in the United States on June 14, 2018","Great app, especially for Liberals! LOL."
B074PZQTXG,Trumpcaster,Local,Justin Barnby,5.0 out of 5 stars,Awe Look At The Crybabies,"Reviewed in the United States on January 9, 2018",Maybe if they did a little research (ha!) They would realize this is more comedy than anything.
B074PZQTXG,Trumpcaster,Local,A. Cre,5.0 out of 5 stars,Love it!,"Reviewed in the United States on December 28, 2017",#MAGA!! Love it!! So funny and support our president!
B074PZQTXG,Trumpcaster,Local,Breadman,5.0 out of 5 stars,2020 here we come,"Reviewed in the United States on April 22, 2018",Yeah baby four more yrs !
B074PZQTXG,Trumpcaster,Local,Lin,1.0 out of 5 stars,Not amusing at all,"Reviewed in the United States on August 12, 2017",Really not that good of an impression. Removed skill immediately
B074PZQTXG,Trumpcaster,Local,Rob,1.0 out of 5 stars,Trump Sucks,"Reviewed in the United States on August 19, 2018",Trump Sucks
B074PZQTXG,Trumpcaster,Local,Average Consumer 123,1.0 out of 5 stars,Stupid,"Reviewed in the United States on January 23, 2018",Stupid. Sounds nothing  like him. Politically motivated app. Poor taste.
B074PZQTXG,Trumpcaster,Local,Christopher Wilson,5.0 out of 5 stars,TRUMP2020,"Reviewed in the United States on August 27, 2018",Boom boom bing!! Love it nevertrumpers eat a D☆☆K
B074PZQTXG,Trumpcaster,Local,Melanie,1.0 out of 5 stars,How about no.,"Reviewed in the United States on December 30, 2017",Terrible. It very uninformed and is taxing to listen to. It is almost as bad as the President it mimics.
B074PZQTXG,Trumpcaster,Local,John,1.0 out of 5 stars,MAGA,"Reviewed in the United States on November 12, 2018",Trump is your president snowflakes
B074PZQTXG,Trumpcaster,Local,Horror Girl 73,1.0 out of 5 stars,Dump Trump,"Reviewed in the United States on March 14, 2018",Moron
B074PZQTXG,Trumpcaster,Local,Bosty,1.0 out of 5 stars,Sad,"Reviewed in the United States on January 8, 2018",Who wants to listen to a liar?
B074PZQTXG,Trumpcaster,Local,Steven,1.0 out of 5 stars,Disgusting,"Reviewed in the United States on January 6, 2018",Disgusting app for disgusting people.
B08P4QX5FW,What's New on Netflix Unofficial,Local,Ciera,1.0 out of 5 stars,Huh???,"Reviewed in the United States on January 13, 2021",Alexa is not sure how to help with that
B08P4QX5FW,What's New on Netflix Unofficial,Local,Ms. Wright,1.0 out of 5 stars,That no one's reading with the reviews because it's not fixed,"Reviewed in the United States on July 6, 2021","Alexa: ""Here's what I found""Alexa: ""  """
B08P4QX5FW,What's New on Netflix Unofficial,Local,Amazon Customer,2.0 out of 5 stars,Alexa isn't sure.  that's her answer,"Reviewed in the United States on January 6, 2021","Alexa isnt sure, that's her answer"
B06XQPJSM1,Event Info,Local,Judy R,5.0 out of 5 stars,Love it!,"Reviewed in the United States on March 28, 2017",Awesome addition for Alexa.  Easy to use and I am able to get events from wherever I travel.
B06XQPJSM1,Event Info,Local,William Sisney,1.0 out of 5 stars,hard to use,"Reviewed in the United States on August 11, 2017","if Alexa has my address on file how hard is it to ask answer a question about ongoing events around or near my location. this is the second event skill i have tried and found not worth it...if the program knows where i am and my preferences it should n""t  be having so much difficulty finding things"
B06XQPJSM1,Event Info,Local,Angela K.,1.0 out of 5 stars,Does not work,"Reviewed in the United States on July 30, 2017",It just gives categories and that is it.
B08PPD1QV5,Pass Time,Local,Amazon customer,5.0 out of 5 stars,Fantastically Simple.,"Reviewed in the United States on December 4, 2020","I love using it to find things near me, so much less overhead than Google or Yelp."
B08PPD1QV5,Pass Time,Local,Amazon Customer,5.0 out of 5 stars,Great  for finding things to do when you can't make up your mind,"Reviewed in the United States on December 4, 2020",Loved the park it suggested
B07CRRXR6H,CSUN Calendar,Local,Sagar Chavan,4.0 out of 5 stars,Awesome skill,"Reviewed in the United States on November 6, 2018",I just loved the skill. Very informative and innovative. Please can you make some more skills
B07CRRXR6H,CSUN Calendar,Local,Sumit Jawale,5.0 out of 5 stars,Great skill,"Reviewed in the United States on May 8, 2018",Let’s you know all events at CSUN
B07CRRXR6H,CSUN Calendar,Local,sachin,5.0 out of 5 stars,Five Stars,"Reviewed in the United States on May 29, 2018",gets the job done.
B073XYHDH2,Hanford Friday,Local,Lou ,4.0 out of 5 stars,Friday on or Friday off?,"Reviewed in the United States on December 10, 2017","Lol, love it. Would love to know if it's talking about Friday on, or Friday off though."
B077PMN3FP,Christmas Spectacular,Local,John Abbamondi,5.0 out of 5 stars,Five Stars,"Reviewed in the United States on December 7, 2017",An amazing holiday tradition in New York City!
